cell_id,latitude,longitude,population,buildings,road_km,hospitals,schools,vulnerability_index,flood_depth_m,flood_duration_h,building_damage_pct,road_damage_pct,affected_population,estimated_damage_inr,impact_class,flood_depth_m_norm,flood_duration_h_norm,building_damage_pct_norm,road_damage_pct_norm,vulnerability_index_norm,affected_population_norm,estimated_damage_inr_norm,impact_score,evacuation_priority_score,evacuation_population,evacuation_priority,recommended_shelter,shelter_distance_km,shelter_schools
C00095,27.91245149050021,88.08877353900294,2084.6,560,1.39,0,0,0.631,4.96,48.3,100.0,72.7,2084.6,126067852.0,Severe,0.992,0.9752577319587629,1.0,0.8224912320398235,0.6304128902316214,0.045945013741001586,0.06756107069849834,82.34524669130508,61.39918655530992,2084.6,HIGH,C08907,6.65308380507366,6
C00217,26.67531964382581,79.74650519388419,7029.0,1440,0.81,0,5,0.677,3.727,30.9,83.07,50.13,6748.5,296400029.0,Severe,0.7454,0.6164948453608247,0.8306999999999999,0.5671456047064147,0.676737160120846,0.14972907417915596,0.1593678982417182,63.34492126924217,52.967680628908994,6748.5,HIGH,C02516,8.714303283575994,3
C00223,23.258412740168872,80.64288558059913,2697.2,507,1.56,0,1,0.909,5.0,43.5,100.0,76.81,2697.2,123926192.0,Severe,1.0,0.8762886597938144,1.0,0.8689897047177283,0.9103726082578046,0.059576977424702644,0.06640674381946003,83.59267219377487,67.35960827144935,2697.2,HIGH,C04618,3.916597022548322,2
C00259,24.27286676692603,74.86437194733334,6098.6,1151,1.3,3,5,0.799,5.0,45.7,100.0,66.07,6098.6,280577863.0,Severe,1.0,0.9216494845360825,1.0,0.747482746917072,0.7995971802618329,0.13526708724145223,0.1508399565990643,82.74307773025788,66.74269270826477,6098.6,HIGH,C07364,8.883619125705822,1
C00469,22.27294441718194,87.31364227940735,4795.0,1221,4.08,0,6,0.901,3.463,29.9,75.24,47.32,4644.6,221572489.0,Severe,0.6926,0.5958762886597938,0.7524,0.5353546781310103,0.9023162134944612,0.10291175717925612,0.11903682761691554,60.8449420914561,54.701678856784476,4644.6,HIGH,C01972,8.087592785201053,4
C00515,20.65800221216492,90.78644608134742,2860.7,536,2.62,0,0,0.458,5.0,38.1,100.0,75.72,2860.7,131304089.0,Severe,1.0,0.7649484536082475,1.0,0.8566579929856318,0.4561933534743203,0.06321528310913804,0.07038333432303023,77.59280944812309,55.47595862773409,2860.7,HIGH,C07074,2.760652468344207,4
C00626,19.87997726548575,86.70321317172477,8887.3,1786,7.98,2,2,0.677,5.0,39.8,95.67,74.05,8887.3,415698691.0,Severe,1.0,0.7999999999999999,0.9567,0.83776445299242,0.676737160120846,0.19732300811108514,0.22366832509747828,80.61396675811805,64.24943872344923,8887.3,HIGH,C07999,5.097006422441361,6
C00634,19.08090793642902,88.40421166745442,7801.6,1825,0.83,0,7,0.736,5.0,42.3,100.0,76.38,7801.6,422277679.0,Severe,1.0,0.8515463917525773,1.0,0.8641249010069012,0.7361530715005035,0.17316332320838482,0.22721431404309547,83.23024075483328,66.18562357466058,7801.6,HIGH,C10171,4.188731190914449,2
C00649,24.06199618422871,87.85901665633767,39656.4,9872,0.38,6,22,0.676,1.251,13.3,46.88,21.74,20395.3,1077756505.0,High,0.2502,0.2536082474226804,0.46880000000000005,0.2459554248218124,0.675730110775428,0.45340632197336356,0.5805088741003782,35.874725831299656,51.54352467595421,20395.3,HIGH,C06625,14.055880536856266,1
C00664,19.29974080979834,78.51828708627538,5773.6,1211,3.62,0,10,0.487,5.0,40.5,100.0,68.12,5773.6,287879919.0,Severe,1.0,0.8144329896907216,1.0,0.7706754157710148,0.48539778449144005,0.12803498114089257,0.15477566979025384,78.4020965232487,58.078547700208574,5773.6,HIGH,C06659,6.913848401439504,3
C00706,22.592510379531237,72.08049089999189,10953.5,2598,1.45,1,6,0.629,3.604,33.2,73.3,61.53,10143.9,464739979.0,Severe,0.7208,0.663917525773196,0.733,0.6961194705283403,0.6283987915407855,0.2252856681909721,0.2501009413489184,64.25483728979671,54.32022026945405,10143.9,HIGH,C06662,11.902068018858534,5
C00732,18.297771060835952,87.62248108869508,22294.8,4972,1.78,9,13,0.509,4.503,38.7,99.49,67.67,22294.8,1158198338.0,Severe,0.9006000000000001,0.777319587628866,0.9948999999999999,0.7655843421201494,0.5075528700906344,0.49567520055186526,0.6238659756155635,80.09263612704551,66.27954535990911,22294.8,HIGH,C05567,11.21019936564361,1
C00947,18.287702303298325,73.43585241205848,4580.4,941,5.22,1,2,0.902,3.852,38.6,67.29,54.58,4580.4,169660275.0,Severe,0.7704,0.7752577319587629,0.6729,0.6174906663649734,0.9033232628398792,0.10148313806646862,0.09105681959949484,65.87776680183165,58.28429661972257,4580.4,HIGH,C04935,8.184571495698863,4
C01136,20.704625416632503,77.31857582943844,940.4,189,0.76,0,0,0.406,5.0,45.8,97.42,71.2,940.4,44563028.0,Severe,1.0,0.9237113402061855,0.9742000000000001,0.8055209865369386,0.40382678751258816,0.020483549740200495,0.023631030862816052,78.53319590477398,54.629740988172216,940.4,HIGH,C00057,14.881657599544578,2
C01140,22.118404820992936,77.74808287034334,1085.4,223,6.34,0,1,0.807,4.642,40.1,97.86,74.54,1085.4,53486225.0,Severe,0.9284000000000001,0.8061855670103093,0.9786,0.8433080665233624,0.8076535750251763,0.02371018169275788,0.028440517963501534,78.32473479992484,61.34709897047499,1085.4,HIGH,C05138,8.797253960752728,2
C01143,24.44368589880008,86.4827116181303,2206.2,406,1.3,0,2,0.847,3.19,27.1,72.37,54.98,1998.5,77050218.0,Severe,0.638,0.5381443298969072,0.7237,0.6220160651657427,0.8479355488418933,0.04402906194020717,0.04114120364534214,57.814521417967605,50.28628230456078,1998.5,HIGH,C04507,15.217780836463936,1
C01190,21.63947228286601,77.63085409511064,7132.9,1324,4.73,0,7,0.82,3.2,29.7,63.6,49.41,6425.7,229271480.0,Severe,0.64,0.5917525773195876,0.636,0.55899988686503,0.8207452165156092,0.14254592387373854,0.12318648360935791,57.11976546665504,52.214356186662016,6425.7,HIGH,C08228,13.371822651629904,4
C01322,28.835230198969168,72.87824321790661,49383.3,10288,3.16,7,23,0.792,1.328,15.4,50.85,15.86,27513.7,1271868365.0,High,0.2656,0.29690721649484536,0.5085000000000001,0.17943206245050344,0.7925478348439073,0.61180947294636,0.6851326414295167,39.48833746317783,60.53854054082669,27513.7,HIGH,C03773,2.2952048869900565,5
C01331,23.69356327804632,88.80846825221074,5474.9,1288,0.27,0,3,0.981,2.773,25.0,70.65,56.53,4732.8,220619957.0,Severe,0.5546,0.4948453608247423,0.7065,0.6395519855187238,0.9828801611278952,0.10487443951177722,0.11852342526045181,56.67496649118357,53.09868912172596,4732.8,HIGH,C07838,10.619943673173204,4
C01338,18.34678383923019,88.03971133515682,2489.3,566,5.38,0,0,0.58,4.314,40.2,93.47,61.0,2489.3,125916622.0,Severe,0.8628,0.8082474226804124,0.9347,0.690123317117321,0.5790533736153071,0.05495065478376003,0.06747955969585695,72.13527758125613,54.387367093108516,2489.3,HIGH,C07323,9.638699851053113,2
C01348,24.17243104935298,72.89745309854759,25956.6,4999,2.38,2,19,0.716,4.002,31.7,83.41,54.67,25956.6,1062333324.0,Severe,0.8004,0.6329896907216495,0.8341,0.6185088810951466,0.7160120845921449,0.5771598963027248,0.5721959801823086,71.25862288262795,67.00776935507139,25956.6,HIGH,C03345,8.162490804998281,1
C01403,20.55589001374912,84.77434594620925,3060.6,777,3.86,2,4,0.893,4.029,32.8,91.49,78.1,3060.6,165440442.0,Severe,0.8058,0.6556701030927834,0.9148999999999999,0.8835841158502092,0.8942598187311178,0.06766358467683611,0.08878238450851265,72.88179936473816,59.91415105902658,3060.6,HIGH,C03149,8.211211208401028,2
C01445,28.448676393010874,76.17944871638731,4599.9,1181,1.46,1,1,0.689,3.664,33.5,86.19,57.18,4377.8,235967178.0,Severe,0.7328,0.6701030927835051,0.8619,0.646905758569974,0.688821752265861,0.09697475438655052,0.1267953777266889,65.48702242168591,52.98659735251275,4377.8,HIGH,C11093,15.054120737379943,4
C01491,18.29347597616408,82.81138820982171,11593.7,2486,6.42,1,7,0.529,3.641,34.9,94.54,65.08,10524.8,550398205.0,Severe,0.7282,0.6989690721649484,0.9454,0.736282384885168,0.527693856998993,0.233761696540828,0.29626961083078707,69.47584800250817,54.9744417262558,10524.8,HIGH,C07800,6.113071324827274,1
C01503,21.983763566582677,86.65029348155514,4987.8,1022,2.42,0,3,0.768,3.825,23.8,84.95,50.0,4987.8,216430923.0,Severe,0.765,0.47010309278350515,0.8495,0.5656748500961647,0.7683786505538771,0.1105488612214471,0.1162655904298039,61.50438379224275,52.509693920937515,4987.8,HIGH,C10916,8.937685616891368,1
C01563,21.832097535487836,77.4965304818318,1934.3,549,2.65,1,2,0.708,5.0,38.3,100.0,69.01,1934.3,122489511.0,Severe,1.0,0.7690721649484535,1.0,0.7807444281027266,0.7079556898288015,0.04260044282741969,0.06563239145031476,78.38262029618389,60.348884987160424,1934.3,HIGH,C11126,17.513009715222793,11
C01570,28.18197393290641,87.92560984403366,9513.7,2096,3.53,2,9,0.641,4.255,36.5,96.79,63.56,9513.7,479890733.0,Severe,0.851,0.7319587628865979,0.9679000000000001,0.7190858694422446,0.6404833836858006,0.21126205814613308,0.2582670006580045,73.952499779165,59.35471859853468,9513.7,HIGH,C10783,7.687067270528222,3
