station_id,station_name,latitude,longitude,danger_level_m,base_level_m,elevation_m
ST01,Kaveri_North,11.9,79.8,1.7600499381176062,2.8,310
ST02,Mahanadi_East,21.5,85.8,2.391310927761219,3.0,220
ST03,Godavari_Mid,16.7,81.1,3.598324692511678,3.6,180
ST04,Krishna_West,16.2,80.6,2.69165400289913,2.7,260
ST05,Narmada_Central,22.7,77.4,2.8526411558670164,3.2,420
ST06,Brahmaputra_South,26.1,91.7,3.606589833840562,3.8,90
ST07,Ganga_East,25.3,87.9,3.1279574033382787,3.4,130
ST08,Yamuna_Mid,28.0,77.4,2.4598293952993884,2.9,210
ST09,Mahi_South,22.5,73.1,2.441415354872231,2.6,280
ST10,Tapti_Central,21.3,75.9,3.896169061745131,2.8,190
