cell_id,latitude,longitude,population,buildings,road_km,hospitals,schools,vulnerability_index,flood_depth_m,flood_duration_h,building_damage_pct,road_damage_pct,affected_population,estimated_damage_inr,impact_class
C00000,24.13056213494203,80.8875910341084,2239.4,451,5.22,0,0,0.459,0.0,1.0,0.0,3.13,525.9,6352125.0,None/Low
C00001,26.999228798236032,75.15358805570673,1224.0,252,8.59,0,1,0.055,0.0,2.4,10.39,0.0,163.8,6676018.0,None/Low
C00002,27.942808980302274,89.18744971842061,3049.3,636,1.34,1,3,0.457,0.367,3.2,16.7,12.5,915.3,30139245.0,Moderate
C00003,26.863002770389524,73.32543262232761,4997.4,1054,2.25,0,2,0.351,1.151,10.4,42.28,14.92,2073.5,105173318.0,High
C00004,24.794681294323823,81.32805435375472,1552.6,400,6.57,0,0,0.772,0.179,2.8,14.14,10.25,536.0,16783946.0,None/Low
C00005,28.146569764840294,79.45799824090348,1814.5,499,4.98,0,0,0.339,0.635,6.8,25.91,16.71,578.8,30421708.0,Moderate
C00006,20.275439416140088,77.77392416346046,1792.6,404,7.57,1,1,0.773,0.758,8.1,30.57,4.61,806.0,31992770.0,Moderate
C00007,18.427724512452816,86.4778079890533,17387.1,3790,2.27,4,6,0.143,0.542,1.4,21.81,3.04,4403.6,201663170.0,Moderate
C00008,28.832083420626667,76.16056297833347,2680.5,589,5.48,1,1,0.439,0.699,9.1,7.82,14.35,953.4,19923592.0,Moderate
C00009,27.677122918031117,78.2438299753847,6286.9,1251,2.27,0,7,0.731,0.31,6.9,9.6,1.14,2255.5,48686689.0,Moderate
C00010,23.216455639764188,74.43968481395346,1200.8,311,5.93,1,0,0.71,2.517,24.6,60.02,48.43,901.4,45136042.0,Severe
C00011,28.403673992170248,74.29321317433158,4824.9,1374,4.31,0,6,0.36,0.107,1.0,0.11,0.0,1106.6,13559131.0,None/Low
C00012,20.0567104239283,82.56710171454687,947.3,203,2.71,0,0,0.688,1.655,12.0,35.72,22.24,558.8,19910154.0,High
C00013,18.132319100969188,90.26299921381107,2998.2,753,0.26,1,1,0.71,0.96,8.7,24.14,27.69,1409.9,49654343.0,Moderate
C00014,27.979730728390837,84.79588548932469,470.8,113,3.19,0,0,0.282,1.212,11.4,38.99,17.47,192.4,10379869.0,High
C00015,20.087408105395117,85.37087395499536,2825.4,639,6.36,0,3,0.356,0.166,2.4,10.14,8.74,675.2,19899428.0,None/Low
C00016,23.026352941939646,89.6835923922544,2203.4,549,6.33,0,2,0.225,0.94,8.1,32.94,12.42,761.1,41876374.0,Moderate
C00017,19.153858532614873,89.72727639014154,664.6,183,1.51,0,1,0.697,2.131,16.6,48.72,31.37,450.6,21574527.0,Severe
C00018,25.35898363103972,87.86598239111304,1233.4,256,1.75,0,0,0.689,0.985,12.4,24.0,23.47,579.1,18110861.0,Moderate
C00019,25.07370583878384,74.39470650079807,2903.9,606,1.22,0,3,0.562,1.01,11.2,29.62,28.58,1284.5,47808411.0,High
C00020,20.752264463312773,80.70188525962612,2048.7,554,4.15,0,0,0.474,0.172,9.3,19.87,6.97,552.1,26512146.0,None/Low
C00021,18.781619392171603,89.16339290606805,5406.7,1383,6.08,0,4,0.536,0.725,4.9,31.63,16.89,2078.5,103930854.0,Moderate
C00022,20.936702502266293,82.27498468114429,3834.4,1027,2.39,2,3,0.86,0.753,7.9,27.41,13.2,1804.1,72402121.0,Moderate
C00023,23.627419231518466,85.24930144406008,3933.4,973,2.73,1,3,0.793,2.196,19.2,50.23,39.4,2806.2,121908617.0,Severe
C00024,18.126189893360092,79.43881516965973,545.4,115,1.5,0,3,0.118,0.092,4.3,22.1,0.0,90.7,5662266.0,None/Low
C00025,20.10967353215804,86.13866194763132,6437.0,1219,5.97,1,3,0.924,0.849,6.8,24.62,11.16,3242.6,93098969.0,Moderate
C00026,21.413129689119835,88.61045469898319,2182.5,579,3.06,0,4,0.307,0.494,6.2,26.38,14.83,623.3,35089325.0,Moderate
C00027,19.825211610448807,73.27488240836185,2994.8,583,6.54,2,1,0.894,1.401,10.2,46.0,19.52,1784.2,70004284.0,High
C00028,20.162039244751092,75.04543832630283,4083.0,1047,3.02,0,6,0.782,1.716,9.9,47.61,34.9,2549.9,120579939.0,High
C00029,27.519771946457205,80.68508281077739,6800.3,1380,2.81,1,2,0.167,1.195,11.2,35.21,19.17,2562.5,118348883.0,High
C00030,19.629278390280543,79.43236770886936,2263.3,443,1.77,0,0,0.667,0.583,6.8,20.05,15.05,886.6,26693951.0,Moderate
C00031,20.018991498583894,83.56342426368015,5661.1,1092,6.28,1,7,0.403,0.92,14.2,30.12,10.48,2187.0,85617665.0,Moderate
C00032,27.678004537170303,84.64414750684259,13265.5,2702,7.12,1,10,0.263,1.04,10.3,35.34,26.9,4946.3,231718351.0,High
C00033,28.426019293151526,85.40228686458916,3036.9,642,4.54,0,3,0.1,0.056,4.8,20.63,0.0,470.6,29487231.0,None/Low
C00034,27.687748179560884,90.12454417731118,3956.7,765,4.96,0,1,0.107,0.0,1.8,5.44,7.5,580.2,14552668.0,None/Low
C00035,24.535161851986278,84.119931710418,2406.2,671,2.25,2,1,0.88,1.877,16.6,47.77,27.46,1631.2,77423359.0,High
C00036,28.12893306420567,77.03396823493776,494.1,95,7.3,0,0,0.811,1.802,14.1,49.56,28.71,319.7,12834487.0,High
C00037,24.552783742118834,90.86809897688256,3709.4,705,2.56,0,0,0.717,2.122,23.7,55.89,24.73,2527.0,101400565.0,Severe
C00038,21.760822696585322,82.41430062645075,2129.4,403,5.77,0,1,0.292,0.508,2.1,21.82,5.77,605.7,23179237.0,Moderate
C00039,26.40798541191247,78.84611855974131,2316.3,466,4.28,0,3,0.394,0.542,9.2,12.84,8.86,731.9,19645733.0,Moderate
C00040,22.145716308393734,88.09884851799198,1281.8,235,2.63,0,0,0.27,0.14,9.2,25.67,0.0,272.7,14132175.0,None/Low
C00041,25.075396978423534,80.4798623279403,925.9,216,0.63,0,2,0.29,0.08,3.4,11.08,2.84,191.6,6612200.0,None/Low
C00042,25.72792510346109,74.70447405388728,1059.1,285,1.87,1,0,0.593,0.837,10.3,40.23,19.4,443.7,26054847.0,Moderate
C00043,19.046895572690204,83.2334533135714,493.2,98,5.36,0,0,0.428,1.436,7.7,30.17,22.8,239.5,8501855.0,High
C00044,18.582929691662503,73.55148442277192,2045.0,505,1.76,0,3,0.356,0.346,2.6,11.76,15.49,554.7,17416320.0,Moderate
C00045,20.622719248159513,89.482636333445,1720.8,406,2.59,0,1,0.277,0.0,1.0,0.0,3.15,325.7,3928999.0,None/Low
C00046,21.269127143521516,72.9887654674277,3580.8,910,3.2,0,4,0.693,1.141,16.2,40.19,16.26,1786.0,87388346.0,High
C00047,25.715972025832688,73.31533270996,492.2,130,5.41,0,0,0.567,1.431,14.0,37.86,26.89,255.6,12289181.0,High
C00048,23.410299561622455,81.2878710910708,4486.0,1123,4.31,0,2,0.772,0.129,4.1,24.04,8.66,1508.7,66801585.0,None/Low
C00049,20.70602679436537,81.7238499109654,16979.1,3166,1.7,3,13,0.112,0.814,3.2,19.9,0.08,5000.0,173401859.0,Moderate
C00050,25.768951832424584,78.7224684483512,2032.6,395,1.85,1,0,0.598,0.562,3.2,9.63,3.7,753.2,15905383.0,Moderate
C00051,26.687692348717533,90.17295262570798,1452.6,264,6.2,0,1,0.405,0.399,3.9,17.84,6.77,425.6,13689001.0,Moderate
C00052,19.236605711866673,80.81158779873525,1428.5,387,7.3,0,1,0.901,0.374,1.0,16.96,16.24,589.5,19182397.0,Moderate
C00053,19.641176090731257,80.9718850665087,1084.5,228,8.26,1,1,0.199,0.384,10.1,17.59,2.01,259.1,10371777.0,Moderate
C00054,23.695576044106616,72.92224529043375,4995.3,1368,1.37,0,3,0.986,1.144,10.7,28.39,18.01,2859.6,104285653.0,High
C00055,22.7736446151343,83.23503280542585,1946.7,497,2.74,1,2,0.537,0.415,4.2,14.37,4.12,640.1,20565861.0,Moderate
C00056,23.19036672860346,72.67716866271391,7306.8,1647,2.94,0,6,0.244,0.796,8.2,17.16,14.63,2369.6,79411483.0,Moderate
C00057,20.685090315805343,77.17704295839226,4092.7,979,5.43,2,2,0.798,0.306,2.5,19.65,4.59,1533.4,53082228.0,Moderate
C00058,26.670711080566655,84.54708202450053,5073.7,1337,1.9,1,1,0.429,1.551,13.4,31.5,32.44,2569.7,106799402.0,High
C00059,21.993258596257878,73.47962105490906,2165.7,595,1.44,0,2,0.737,0.532,5.3,16.46,18.97,866.5,28095018.0,Moderate
C00060,19.97538792376532,89.05955660252863,12156.3,2840,1.46,2,11,0.701,0.412,5.6,31.22,0.93,4491.4,213520520.0,Moderate
C00061,22.93222608200157,73.2124516743331,407.1,99,4.2,0,0,0.684,0.394,9.3,16.67,6.92,147.3,4810518.0,Moderate
C00062,21.81583743980345,89.10206197013157,1065.2,240,2.48,0,1,0.236,0.086,1.0,5.51,15.39,207.2,4962303.0,None/Low
C00063,28.64157203856532,90.08147011102844,5261.1,1205,4.34,0,5,0.808,0.989,12.6,28.88,26.74,2630.4,94504831.0,Moderate
C00064,27.3561463046121,75.34033786473604,2562.8,487,10.55,2,1,0.895,1.424,16.0,40.5,11.65,1537.5,54257624.0,High
C00065,28.62216056924619,90.19480210950928,2671.5,579,2.51,0,2,0.472,0.775,7.1,20.1,13.65,1008.4,33136907.0,Moderate
C00066,27.9794144404962,87.78269011490237,2843.2,547,2.2,0,1,0.752,0.463,10.9,16.46,12.07,1112.6,29621545.0,Moderate
C00067,24.417714516992255,83.53714949736873,1757.4,332,3.83,0,0,0.17,0.119,3.2,10.51,17.67,323.2,10329713.0,None/Low
C00068,20.14204352772038,80.31071010750497,9686.4,2766,4.02,0,6,0.801,0.09,7.0,19.06,2.18,3259.0,134003994.0,None/Low
C00069,27.374795219474173,73.72578139585606,2344.7,465,2.26,0,1,0.793,0.0,3.7,18.39,0.0,746.1,24347576.0,None/Low
C00070,24.01688531630103,83.929867200062,2188.6,437,2.07,0,2,0.812,0.465,3.5,35.26,9.87,890.2,38469807.0,Moderate
C00071,26.97424710968,73.25952392184618,6240.9,1717,0.62,3,12,0.837,1.988,18.0,52.51,34.14,4287.6,213789801.0,High
C00072,19.678677725469058,85.16197047088207,4394.0,1108,2.35,0,4,0.666,0.54,6.4,35.72,5.35,1686.0,91509741.0,Moderate
C00073,28.076969344183837,74.29471083464075,4190.8,837,3.59,0,3,0.561,1.426,16.9,34.52,37.43,2166.1,78339549.0,High
C00074,25.709328632250376,73.819552078311,13183.9,2652,0.55,3,11,0.065,1.396,12.3,32.53,22.83,5109.9,216633229.0,High
C00075,28.771419452387946,88.61382091507912,1466.0,339,2.25,0,1,0.475,0.141,5.9,13.04,11.28,387.0,12662491.0,None/Low
C00076,27.734172596976876,86.66522284092186,394.4,78,2.09,0,0,0.31,0.214,1.0,13.93,16.17,93.1,3157849.0,None/Low
C00077,26.880877527867106,88.87499086099858,1815.0,347,2.05,1,2,0.392,0.052,1.2,31.46,0.0,412.5,24599031.0,None/Low
C00078,24.88697449341078,80.45114650047007,12704.7,2853,1.23,1,9,0.434,0.764,3.1,20.06,10.55,4651.3,158869963.0,Moderate
C00079,26.158610887629415,83.82823824492205,909.5,179,8.65,0,0,0.523,0.0,1.0,3.41,10.3,228.1,4057772.0,None/Low
C00080,21.349537222960883,87.73117665584688,1358.3,311,1.4,0,1,0.543,1.133,6.9,29.85,25.43,624.3,24292042.0,High
C00081,22.41856797289239,87.33979962889195,3397.9,667,10.26,0,1,0.791,0.058,1.0,5.06,5.56,1115.2,19605695.0,None/Low
C00082,22.853161570130062,89.97716265920363,1614.8,315,3.36,0,0,0.66,1.334,13.1,34.1,25.18,847.9,29724019.0,High
C00083,23.97861108301189,84.08139369855616,985.2,210,2.46,0,1,0.411,0.334,3.4,26.75,10.86,278.7,13520489.0,Moderate
C00084,23.984088660012688,86.69033320785549,5450.5,1008,5.0,1,4,0.636,0.664,6.2,43.44,18.74,2171.0,105105166.0,Moderate
C00085,19.00300139136803,85.94625908600601,3969.5,910,1.93,0,4,0.721,0.715,4.2,36.07,24.44,1702.3,79633301.0,Moderate
C00086,28.58915393450751,79.0948576173679,711.7,177,3.13,1,0,0.576,1.242,8.1,32.41,31.25,347.1,14734783.0,High
C00087,26.204249436847178,78.1468819780215,18130.3,4766,5.8,4,15,0.879,0.634,9.4,31.37,8.34,8228.8,368013393.0,Moderate
C00088,28.647106719536055,74.35139720829211,3209.1,596,6.04,0,2,0.405,1.477,14.9,38.91,26.66,1563.1,60905167.0,High
C00089,22.287744633915523,82.09267016201316,968.3,266,2.9,0,0,0.275,0.16,5.8,17.91,12.26,210.7,11193692.0,None/Low
C00090,24.36006877012593,74.82368713979348,4314.8,853,9.19,0,1,0.843,1.079,11.8,27.22,14.01,2265.1,69303456.0,High
C00091,28.174727697427272,78.87786211909844,1233.1,263,8.95,1,1,0.936,0.63,6.3,28.87,13.2,576.2,20874772.0,Moderate
C00092,18.65317503716892,73.56330867383643,2840.7,615,5.11,2,2,0.408,0.632,7.3,20.48,18.93,953.6,34360023.0,Moderate
C00093,25.111926541868385,78.35824621871988,2358.8,507,1.51,0,0,0.038,0.632,8.8,20.72,21.82,573.7,25877582.0,Moderate
C00094,22.604794076759315,79.73386299142179,1060.2,203,3.89,1,1,0.909,0.334,3.9,21.97,2.21,431.8,13229216.0,Moderate
C00095,27.91245149050021,88.08877353900294,2084.6,560,1.39,0,0,0.631,4.96,48.3,100.0,72.7,2084.6,126067852.0,Severe
C00096,24.40085402229178,79.54953439267686,5596.1,1103,2.85,0,9,0.679,0.189,2.7,18.83,4.15,1811.7,59147582.0,None/Low
C00097,24.65808705434505,87.92921808858907,12692.2,2586,3.4,1,10,0.186,0.57,13.9,18.5,8.57,3415.2,127150355.0,Moderate
C00098,24.62008461163497,90.98139239174631,3567.1,730,2.85,0,2,0.522,0.725,1.0,26.56,14.69,1359.2,51310740.0,Moderate
C00099,21.975863009646158,87.75042058793241,2442.2,461,3.11,0,2,0.383,0.235,1.8,9.46,6.55,630.0,15465261.0,None/Low
C00100,28.104333909790228,77.8629133687395,6019.6,1477,5.64,1,3,0.551,1.486,9.1,33.6,25.8,3161.5,127628244.0,High
C00101,27.227589530051027,83.96690674869754,2928.7,573,0.94,2,2,0.779,2.334,18.7,62.95,51.1,2152.0,90874565.0,Severe
C00102,28.2069665661448,78.96100690497403,25370.8,5354,3.66,3,16,0.361,0.579,7.2,16.78,13.18,7981.6,257657510.0,Moderate
C00103,23.368042292559664,72.60555849911088,2336.1,452,2.08,1,3,0.625,0.464,4.8,24.51,5.75,840.5,30057092.0,Moderate
C00104,24.511952551476867,80.96000521080475,1786.5,485,5.17,1,2,0.591,0.477,11.3,20.01,15.35,631.8,25252062.0,Moderate
C00105,23.211861728274286,87.22617454111649,1714.1,313,4.37,0,0,0.961,2.452,22.0,58.66,38.56,1374.2,49962341.0,Severe
C00106,21.394989669491842,83.19291004753644,2316.0,526,4.08,0,2,0.077,0.244,6.2,17.08,8.41,424.5,21346373.0,None/Low
C00107,26.496180806874925,79.96364629680825,2277.6,510,3.36,0,0,0.796,0.613,8.6,26.97,1.69,977.7,36509366.0,Moderate
C00108,20.60465070859036,76.78673457063078,4252.4,792,1.49,1,4,0.237,0.541,4.0,33.13,15.71,1176.3,61405071.0,Moderate
C00109,19.83289068317763,75.96880584717807,3875.6,784,3.24,0,7,0.692,1.219,16.2,20.62,16.6,1985.5,53052673.0,High
